Country,ICQ: Responsibility,ICQ: Unselfishness,ICQ: Fatih,ICQ: Thrift,ICQ: Perseverance,ICQ: Imagination,ICQ: Hard word,ICQ: Independence,ICQ: Self expression,ICQ: Respect,IIL: Family,IIL: Work,IIL: Religion,IIL: Politics,Continents,Gdp,lognGdp
Thailand,65.7,44.3,34.7,53.0,50.3,23.3,78.3,35.9,14.6,64.7,98.0,92.0,87.7,73.0,Asia,5560,8.623353387244627
Trinidad and Tobago,48.6,16.0,68.1,35.2,26.0,5.8,61.4,58.6,15.3,84.2,98.3,87.1,90.6,34.4,North America,16800,9.72913416539135
Tunisia,77.3,33.2,76.1,23.2,28.7,15.0,73.9,55.1,18.3,54.9,99.39999999999999,94.2,98.10000000000001,40.2,Africa,4200,8.34283980427146
Turkey,66.5,27.7,39.7,39.4,38.0,28.3,72.0,35.0,37.9,61.4,99.7,81.3,92.69999999999999,47.400000000000006,Asia,12900,9.464982590349763
Ukraine,75.5,19.9,22.3,45.1,39.4,13.0,85.8,42.8,32.3,59.0,98.6,78.8,60.8,28.5,Europe,3160,8.058327306580958
United States,65.2,32.7,43.1,31.6,35.7,30.5,66.4,53.6,17.6,71.8,99.60000000000001,82.3,99.8,75.0,North America,50000,10.819778284410283
Uruguay,81.6,52.9,15.8,20.6,35.0,19.8,21.8,48.2,38.6,82.0,98.2,79.9,68.4,53.0,South America,13500,9.51044496442652
Uzbekistan,75.0,23.5,5.7,33.2,56.7,4.0,92.7,57.6,8.3,80.5,98.60000000000001,89.7,38.6,28.6,Asia,1650,7.408530566894626
Yemen,68.7,31.0,84.5,38.3,30.5,9.1,31.7,30.6,6.5,80.0,99.6,84.69999999999999,73.0,45.0,Asia,1130,7.029972911706386
Zimbabwe,43.1,29.5,59.6,25.1,49.4,13.3,76.0,39.1,20.6,63.8,98.7,85.0,98.6,43.8,Africa,942,6.848005274576363
