Country,ICQ: Independence,ICQ: Perseverance,ICQ: Respect,ICQ: Imagination,ICQ: Faith,ICQ: Obedience,ICQ: Responsibility,ICQ: Thrift,ICQ: Unselfishness,ICQ: Hard work,IIL: Work,IIL: Religion,IIL: Politics,Continents,Gdp,lognGdp
Lithuania,71.9,36.2,54.1,7.1,22.5,22.9,73.7,39.2,28.4,88.5,98.1,87.5,21.3,Europe,6150,8.724207360800564
Mexico,39.8,39.7,57.3,27.7,43.6,49.9,66.8,46.2,38.3,33.1,93.19999999999999,90.5,35.7,North America,8300,9.02401079378469
Moldova,35.9,29.5,63.4,12.9,28.0,39.4,66.5,41.7,9.3,87.3,96.2,89.9,52.300000000000004,Europe,1050,6.956545443151569
Montenegro,52.1,41.7,64.2,17.1,12.5,40.8,67.1,25.4,33.3,67.9,96.4,91.6,78.6,Europe,5010,8.51919119407891
New Zealand,53.7,39.3,77.9,27.8,15.7,21.9,58.9,25.1,32.7,37.1,97.1,84.9,66.5,Oceania,27200,10.210972252284089
Nigeria,20.2,38.9,63.5,6.1,72.0,71.4,27.5,9.8,14.7,82.8,98.3,85.6,38.2,Africa,1280,7.154615356913663
Norway,88.6,35.5,65.9,36.6,11.7,25.9,92.3,13.2,11.2,10.7,99.6,97.2,98.2,Europe,77100,11.25285855955142
Pakistan,19.8,33.4,55.3,7.0,80.6,32.0,71.3,60.1,30.8,53.0,98.39999999999999,93.3,38.2,Asia,822,6.71174039505618
Peru,20.8,24.2,63.0,18.6,51.6,50.1,77.5,19.1,15.6,62.7,95.39999999999999,92.4,94.6,South America,3330,8.110727582974489
Philippines,51.1,28.6,47.6,9.7,62.7,44.2,57.9,30.0,30.6,57.8,98.5,95.6,81.69999999999999,Asia,1600,7.3777589082278725
Poland,32.2,37.0,81.5,11.0,31.0,48.7,78.0,56.8,13.9,16.0,99.8,97.7,97.8,Europe,7370,8.905172985183382
Romania,50.8,63.0,72.1,39.5,57.9,13.7,82.7,60.6,23.0,63.6,99.6,95.9,92.80000000000001,Europe,4890,8.494947582468917
Serbia,50.7,44.3,50.2,12.7,13.2,38.5,64.8,29.5,28.1,67.9,97.5,93.4,75.1,Europe,3480,8.15478757276852
Slovenia,71.3,48.5,72.0,8.1,19.2,28.2,70.3,39.5,29.2,33.0,96.5,93.9,43.0,Europe,16400,9.70503661381229
South Africa,31.2,29.7,70.0,10.6,61.1,49.9,48.8,28.7,22.4,58.5,97.8,93.1,89.9,Africa,5710,8.649974302650056
South Korea,59.7,35.6,46.8,7.8,16.6,14.4,88.1,66.3,10.6,62.2,99.1,89.7,57.7,Asia,13500,9.51044496442652
Spain,24.8,21.2,75.6,21.7,21.8,43.8,69.8,19.0,14.3,64.4,98.4,93.8,29.2,Europe,25000,10.126631103850338
Sweden,60.7,31.6,90.4,39.1,4.8,15.9,88.4,42.1,23.7,6.6,97.10000000000001,88.2,40.7,Europe,39300,10.578979797857352
Switzerland,42.4,47.6,79.3,23.2,20.5,24.0,80.3,35.0,29.9,39.6,99.6,94.7,93.5,Europe,63100,11.052476048529304
Turkey,16.3,18.7,58.6,22.1,50.9,35.7,59.3,32.5,19.6,69.3,99.3,90.1,63.0,Asia,8190,9.010669176847115
Ukraine,33.7,42.1,61.2,11.2,20.4,38.2,65.8,48.9,18.8,83.3,99.2,85.7,82.1,Europe,1700,7.438383530044307
Great Britain,49.3,36.1,85.9,17.0,16.7,49.6,66.6,28.2,25.0,37.8,98.39999999999999,94.8,48.900000000000006,Europe,32600,10.392067567354799
United States,45.2,41.5,75.0,26.5,53.9,37.6,69.0,26.7,36.0,52.5,99.5,98.10000000000001,85.0,North America,41000,10.621327345686446
Uruguay,49.1,41.8,69.7,30.9,17.4,28.8,81.3,26.6,54.7,28.6,98.1,91.1,54.1,South America,9090,9.114930187171524
Venezuela,23.2,18.6,57.3,12.9,43.0,50.0,74.0,45.2,38.2,54.7,99.5,86.6,51.3,South America,12800,9.457200449907708
